               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099717,            0.029659,                   0,            0.003254,             0.97619,            0.057791,             0.01974,            0.049535,            0.020528,                   0,              0.0766,              0.0026,              0.0026
                   1,            0.070062,              0.0257,                   0,            0.003254,             0.97619,             0.29877,             0.08206,             0.03961,            0.017457,                   0,            0.052283,           0.0052825,           0.0052825
                   2,            0.062758,            0.024578,                   0,             0.14967,             0.66667,             0.19771,             0.07022,            0.049628,             0.01514,                   0,            0.027947,           0.0079472,           0.0079472
                   3,            0.063264,            0.023043,                   0,            0.059465,             0.97619,             0.27773,             0.11399,            0.048038,            0.014084,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.061069,             0.02294,                   0,             0.21809,             0.66412,             0.29239,             0.13024,            0.048433,            0.012237,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.057076,            0.021288,                   0,             0.21783,             0.66667,             0.22822,             0.10946,            0.046709,            0.013446,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.051705,            0.020134,                   0,             0.26299,             0.61905,             0.29762,             0.10813,            0.049258,            0.013048,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.050014,            0.018114,                   0,             0.35186,             0.69804,             0.44845,             0.14595,            0.044617,            0.013132,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.050102,            0.019243,                   0,             0.64243,             0.90476,             0.76526,             0.33073,            0.040327,            0.010677,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045732,            0.017838,                   0,             0.89073,             0.97048,             0.91696,             0.33485,            0.040565,           0.0083973,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.049668,            0.017259,                   0,             0.92681,             0.90451,             0.93061,             0.54579,            0.039163,           0.0072542,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.045272,            0.015491,                   0,             0.94623,             0.92857,             0.95497,             0.44472,            0.036508,           0.0073116,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.045119,            0.015279,                   0,             0.96793,             0.92857,             0.96386,             0.57389,            0.038552,            0.005968,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.042844,            0.014836,                   0,             0.97311,             0.97619,              0.9667,             0.65385,            0.031281,           0.0059673,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.039343,            0.014665,                   0,             0.97492,              0.9257,              0.9504,             0.56966,            0.030236,           0.0069947,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.041305,            0.014183,                   0,             0.97616,             0.97484,             0.97241,             0.62726,            0.029079,           0.0063089,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.039454,            0.014479,                   0,             0.97503,             0.97619,             0.96638,             0.76277,            0.023481,            0.005511,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.039656,            0.014072,                   0,             0.97615,             0.97472,              0.9737,             0.67206,            0.030998,           0.0059932,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.038362,            0.013784,                   0,             0.97449,             0.97619,             0.97513,             0.65977,            0.028885,           0.0059574,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.037332,            0.013701,                   0,             0.97128,             0.97619,             0.96396,             0.65415,            0.025883,           0.0065415,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.037247,            0.013659,                   0,             0.96958,             0.97619,             0.96233,              0.5343,            0.032025,           0.0065815,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.038285,            0.013601,                   0,             0.97493,             0.97619,             0.96034,             0.67142,            0.025943,            0.005579,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.035995,            0.013269,                   0,             0.89199,             0.95238,             0.95399,             0.67717,            0.026087,           0.0067793,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.035007,             0.01275,                   0,             0.97401,             0.97619,             0.96771,             0.73182,            0.029775,           0.0051062,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.035478,            0.012605,                   0,             0.97415,             0.97619,              0.9752,             0.70233,            0.029169,           0.0053461,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.035099,            0.013046,                   0,              0.9735,             0.97619,             0.97211,             0.75942,            0.029392,           0.0050702,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.035483,             0.01237,                   0,              0.9734,             0.97619,              0.9641,             0.66973,            0.032343,           0.0054177,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.033805,            0.012832,                   0,             0.97356,             0.97619,             0.95765,             0.73925,            0.028414,           0.0050715,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.033493,            0.012511,                   0,             0.97167,             0.97619,             0.96615,             0.65592,            0.028845,           0.0060687,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.035164,            0.012976,                   0,             0.97401,             0.97619,             0.95494,             0.64964,            0.032269,           0.0046846,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.031641,            0.012426,                   0,             0.97359,             0.97619,             0.97193,             0.66674,             0.03243,           0.0054399,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.03301,            0.012968,                   0,             0.97296,             0.97619,             0.95777,             0.79502,            0.024646,           0.0050353,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.031262,            0.011946,                   0,              0.9735,             0.97619,             0.95296,             0.72933,             0.02502,           0.0058708,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.031003,            0.011827,                   0,             0.97611,             0.97284,             0.95585,             0.69211,             0.02718,           0.0062799,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.030117,            0.012029,                   0,             0.97391,             0.97619,             0.95715,             0.78743,             0.02383,           0.0046854,                   0,            0.008911,            0.008911,            0.008911
