               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10173,            0.029022,                   0,            0.002963,             0.19048,           0.0034176,          0.00060617,            0.077576,            0.023147,                   0,              0.0766,              0.0026,              0.0026
                   1,              0.0936,            0.027524,                   0,           0.0030952,             0.30952,           0.0031221,           0.0010775,            0.067019,            0.023038,                   0,            0.052283,           0.0052825,           0.0052825
                   2,            0.088285,            0.028352,                   0,           0.0023016,             0.69048,           0.0039186,          0.00063766,            0.064465,            0.022362,                   0,            0.027947,           0.0079472,           0.0079472
                   3,            0.080403,            0.028805,                   0,            0.003254,             0.97619,           0.0080164,           0.0018707,              0.0901,             0.01676,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.079115,            0.028767,                   0,           0.0027778,             0.83333,           0.0080407,           0.0017111,             0.10223,            0.013703,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.075638,            0.027488,                   0,           0.0027778,             0.83333,           0.0075642,           0.0013927,            0.063462,            0.017591,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.07026,            0.026454,                   0,            0.002619,             0.78571,           0.0076355,           0.0010934,            0.060439,            0.017803,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.071934,            0.024837,                   0,            0.002381,             0.71429,           0.0061125,          0.00096792,            0.061594,            0.017343,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.071834,            0.027713,                   0,           0.0021429,             0.64286,            0.016776,           0.0031473,            0.062087,            0.017138,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.067197,            0.026579,                   0,           0.0031746,             0.95238,            0.013195,           0.0025716,            0.059093,            0.017608,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.074653,            0.026142,                   0,            0.003254,             0.97619,            0.016872,           0.0028995,            0.056257,            0.016735,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.071721,            0.024162,                   0,           0.0030952,             0.92857,            0.033644,           0.0057351,            0.054903,            0.018003,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.074824,            0.024651,                   0,           0.0030159,             0.90476,            0.012412,           0.0026756,            0.054954,            0.018403,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.07137,            0.025431,                   0,           0.0030952,             0.92857,            0.010144,           0.0032504,            0.046917,            0.019652,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.066875,             0.02507,                   0,           0.0030952,             0.92857,            0.048277,           0.0085457,            0.052222,            0.018285,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.071075,            0.024817,                   0,           0.0031746,             0.95238,            0.055715,            0.018637,             0.04864,            0.018072,                   0,            0.009538,            0.009538,            0.009538
