               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10939,            0.021114,                   0,           0.0001982,            0.046809,          0.00010393,          2.2526e-05,            0.073935,            0.017772,                   0,            0.070667,           0.0032593,           0.0032593
                   1,              0.0765,            0.018601,                   0,           0.0029703,             0.76596,           0.0064746,           0.0014596,             0.06323,            0.013316,                   0,            0.040645,           0.0065708,           0.0065708
                   2,            0.064213,              0.0172,                   0,            0.036066,             0.81702,             0.13531,            0.049347,            0.051829,            0.013258,                   0,            0.010601,           0.0098604,           0.0098604
                   3,            0.060717,            0.014467,                   0,             0.32342,             0.50638,             0.31017,            0.064626,            0.055802,           0.0095163,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.053649,            0.011453,                   0,              0.6167,             0.73191,             0.65638,              0.2522,            0.047568,           0.0083734,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.055261,            0.010452,                   0,             0.73107,             0.75192,             0.77545,             0.35297,            0.038475,           0.0082132,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.047099,           0.0098045,                   0,             0.82841,             0.73959,             0.82564,             0.38078,             0.03595,           0.0077536,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.046308,           0.0087476,                   0,             0.75269,             0.79003,             0.80668,             0.32811,            0.042563,           0.0071294,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.044875,           0.0086505,                   0,             0.77241,             0.83766,             0.84436,             0.42997,            0.034149,           0.0074145,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045528,            0.008378,                   0,             0.80196,             0.82128,             0.82051,             0.34169,            0.040996,            0.006394,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.043502,           0.0082252,                   0,             0.81696,              0.7977,             0.85206,             0.42879,            0.031746,           0.0063633,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.039303,           0.0077348,                   0,             0.78576,              0.8383,             0.88196,             0.45737,            0.032377,            0.006208,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.041896,            0.007683,                   0,             0.82787,             0.79817,             0.86983,             0.46948,            0.029499,           0.0058598,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.038327,            0.007186,                   0,             0.86018,             0.83772,             0.89742,             0.48432,            0.030462,           0.0054646,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.038028,           0.0067875,                   0,             0.88617,             0.81277,             0.88942,             0.48826,            0.031106,             0.00554,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.038313,           0.0070492,                   0,             0.81959,             0.83127,             0.88422,             0.47889,            0.028728,           0.0054995,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.038799,            0.006801,                   0,             0.88713,             0.77872,             0.90326,             0.48853,            0.027512,           0.0051507,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.039341,           0.0067252,                   0,             0.83615,             0.86865,              0.8896,              0.4694,            0.029356,           0.0051147,                   0,            0.009472,            0.009472,            0.009472
