               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090048,            0.022303,                   0,          1.6584e-05,           0.0042553,          8.3657e-06,          8.3657e-07,            0.078819,            0.018347,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.069725,            0.020174,                   0,          0.00030151,            0.076596,          0.00016663,          4.4907e-05,            0.062582,            0.017692,                   0,            0.040645,           0.0065708,           0.0065708
                   2,            0.056774,            0.021488,                   0,           0.0034488,             0.88936,           0.0066826,           0.0020781,            0.042421,            0.019267,                   0,            0.010601,           0.0098604,           0.0098604
                   3,            0.045893,            0.022391,                   0,           0.0037294,              0.9617,              0.2106,            0.083831,            0.038096,            0.017343,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.039283,            0.019775,                   0,             0.80139,             0.74894,             0.76227,             0.27843,            0.039189,            0.014175,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.039246,            0.015926,                   0,             0.85791,              0.8766,             0.88235,             0.42495,            0.033059,            0.010515,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.03617,            0.011672,                   0,             0.74839,             0.84804,             0.82484,             0.36183,            0.032798,           0.0091718,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.036751,            0.010274,                   0,              0.8914,             0.86809,             0.90858,             0.45106,             0.03238,           0.0083852,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.035275,            0.010045,                   0,             0.90897,             0.89231,             0.93052,             0.53306,            0.027169,           0.0082888,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.033416,           0.0093448,                   0,             0.89469,             0.86383,             0.89999,             0.42734,            0.030987,           0.0074429,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.032917,           0.0087926,                   0,             0.92193,             0.84681,             0.90077,             0.50353,            0.028809,            0.006992,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.030207,           0.0078443,                   0,             0.91705,              0.8938,             0.93896,             0.54845,            0.025946,           0.0065996,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.032859,             0.00788,                   0,             0.90165,             0.88511,             0.92289,             0.47755,            0.027805,           0.0062166,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031474,            0.007098,                   0,             0.87993,             0.90435,             0.91893,             0.54019,             0.02766,            0.005881,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.030383,            0.006722,                   0,             0.90568,             0.89895,             0.91304,              0.5196,            0.028234,           0.0054423,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.033557,           0.0066563,                   0,             0.92171,             0.90173,              0.9418,              0.5567,            0.025939,            0.005282,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031316,           0.0065234,                   0,             0.86413,             0.89313,             0.91771,             0.50802,            0.026932,           0.0050468,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.031842,           0.0062859,                   0,             0.89118,             0.88511,             0.92131,             0.53404,             0.02598,           0.0051474,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.027069,           0.0061285,                   0,              0.9299,             0.90314,             0.93267,             0.52889,            0.027368,           0.0048029,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.030167,            0.005985,                   0,             0.90627,             0.90516,             0.92482,             0.54319,            0.025011,           0.0047796,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029294,           0.0055856,                   0,             0.90951,             0.89818,             0.93744,             0.55337,            0.026467,           0.0047982,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.028563,           0.0058195,                   0,             0.94057,             0.87554,             0.94097,             0.57123,            0.025559,           0.0045671,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.028579,           0.0054305,                   0,             0.93044,             0.91067,             0.94876,             0.54464,            0.025361,           0.0044761,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.026377,            0.005442,                   0,              0.9043,             0.91489,             0.93938,             0.52654,              0.0267,            0.004424,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.026734,           0.0054183,                   0,             0.93559,             0.88936,             0.93516,               0.525,            0.025443,           0.0043938,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.025984,            0.005358,                   0,             0.90829,             0.92722,             0.93959,             0.52968,            0.026418,           0.0043681,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.028346,           0.0053062,                   0,             0.92753,             0.88936,              0.9318,             0.52485,            0.026609,           0.0043637,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.028847,           0.0052588,                   0,             0.91197,             0.89787,             0.93025,              0.5541,            0.027259,           0.0043211,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.026938,           0.0048836,                   0,              0.9337,             0.89885,             0.94312,             0.55777,            0.025032,           0.0042104,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.029532,           0.0053657,                   0,             0.92848,             0.88395,             0.92558,             0.54705,            0.026115,           0.0042075,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.028372,           0.0049954,                   0,             0.94527,             0.88202,             0.93435,             0.54916,            0.025612,           0.0042344,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.026749,           0.0051865,                   0,              0.9115,             0.87649,             0.91182,             0.54086,            0.026997,           0.0042773,                   0,             0.00901,             0.00901,             0.00901
                  32,              0.0303,           0.0050441,                   0,             0.91953,             0.86383,             0.91438,             0.54736,             0.02443,           0.0044791,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.026579,           0.0050987,                   0,              0.9141,             0.91064,             0.94474,             0.56143,            0.026422,           0.0041232,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.026537,           0.0049696,                   0,              0.9413,              0.8766,             0.93984,             0.55513,             0.02608,           0.0042354,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.025587,           0.0049064,                   0,             0.92407,             0.87234,             0.93814,             0.53229,            0.027104,           0.0042792,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.027044,           0.0051675,                   0,             0.92475,             0.88904,             0.93309,             0.55916,            0.023741,           0.0042633,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.025632,           0.0049357,                   0,              0.9166,             0.90213,             0.92712,             0.54554,            0.025256,           0.0041633,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.024276,           0.0048826,                   0,             0.89402,             0.89745,             0.92817,             0.55056,            0.024249,           0.0042213,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.025254,           0.0050972,                   0,             0.91068,             0.91111,             0.94678,             0.54764,            0.024714,           0.0041291,                   0,            0.008746,            0.008746,            0.008746
